Variables,Type,Variables_name_ENG,Variables_name_KOR
SE_Name_Language,0,English,한국어
SE_Name_System,0,MOTIVE ECOSYSTEM (Climate Change Impact and Vulnerability Assessment Model),MOTIVE ECOSYSTEM (생태계 기후변화 영향 및 취약성 평가모형)
SE_Name_System_institute,0,National Institute of Ecology        since 2020,국립생태원        since 2020
SE_Name,0,Setting,환경설정
SE_Name_WE,0,Working Environment,작업환경
SE_Name_WE_Project,0,Working Project,작업디렉토리
SE_Name_DE,0,Data Environment,데이터환경
SE_Name_DE_Climate,0,Climate Data Path,기후자료
SE_Name_DE_Link,0,Link Data Path,연계자료
SE_Name_DE_Species,0,Species Data Path,생물종자료
SE_Name_DE_Species_Index,0,Select species index data (CSV file) Data Path,생물종정보 인덱스 자료 (CSV file)
SE_Name_DE_Species_Location,0,Select species location data (CSV file),생물종위치자료 (CSV file)
SP_Name,0,Species Data,생물종자료
SP_Name_Info,0,Species Information,생물종정보
SP_Name_Location,0,Species Location,생물종위치
LD_Name,0,Link Data,연계자료
LD_Name_Map,0,Map,지도
LD_Name_Summary,0,Summary,통계
LD_Name_Variables,0,Link Data,연계자료
LD_Name_Variables_list,1,LD_Variables_list,LD_Variables_list
LD_Name_Variables_selected,0,forestfire,forestfire
LD_Name_Models,0,Climate Models,기후모델
LD_Name_Models_list,1,CD_Models_list,CD_Models_list
LD_Name_Models_selected,0,KMA,KMA
LD_Name_Scenarios,0,Climate Scenarios,기후시나리오
LD_Name_Scenarios_list,1,CD_Scenarios_list,CD_Scenarios_list
LD_Name_Scenarios_selected,0,RCP4.5,RCP4.5
LD_Name_Year,0,Projecting Years,예측년도
LD_Name_Year_list,1,CD_Year_list,CD_Year_list
LD_Name_Year_selected,0,2000,2000
CD_Name,0,Climate Data,기후자료
CD_Name_Map,0,Map,지도
CD_Name_Summary,0,Summary,통계
CD_Name_Variables,0,Climate Variables,기후변수
CD_Name_Variables_list,1,CD_Variables_list,CD_Variables_list
CD_Name_Variables_selected,0,bio01,bio01
CD_Name_Models,0,Climate Models,기후모델
CD_Name_Models_list,1,CD_Models_list,CD_Models_list
CD_Name_Models_selected,0,KMA,KMA
CD_Name_Scenarios,0,Climate Scenarios,기후시나리오
CD_Name_Scenarios_list,1,CD_Scenarios_list,CD_Scenarios_list
CD_Name_Scenarios_selected,0,RCP4.5,RCP4.5
CD_Name_Year,0,Projecting Years,예측년도
CD_Name_Year_list,1,CD_Year_list,CD_Year_list
